Grand Prix,1st Place,2nd Place,3rd Place
Bahrain,Max Verstappen,Sergio Perez,Fernando Alonso
Saudi Arabia,Sergio Perez,Max Verstappen,Fernando Alonso
Australia,Max Verstappen,Lewis Hamilton,Fernando Alonso
Azerbaijan,Sergio Perez,Max Verstappen,Charles Leclerc
Miami,Max Verstappen,Sergio Perez,Fernando Alonso
Monaco,Max Verstappen,Fernando Alonso,Esteban Ocon
Spain,Max Verstappen,Lewis Hamilton,George Russell
Canada,Max Verstappen,Fernando Alonso,Lewis Hamilton
Austria,Max Verstappen,Charles Leclerc,Sergio Perez
Great Britain,Max Verstappen,Lando Norris,Lewis Hamilton
Hungary,Max Verstappen,Lando Norris,Sergio Perez
Belgium,Max Verstappen,Sergio Perez,Charles Leclerc
Netherlands,Max Verstappen,Fernando Alonso,Pierre Gasly
Italy,Max Verstappen,Sergio Perez,Carlos Sainz
Singapore,Carlos Sainz,Lando Norris,Lewis Hamilton
Japan,Max Verstappen,Lando Norris,Oscar Piastri
Qatar,Max Verstappen,Oscar Piastri,Lando Norris
United States,Max Verstappen,Lewis Hamilton,Lando Norris
Mexico,Max Verstappen,Lewis Hamilton,Charles Leclerc
Brazil,Max Verstappen,Lando Norris,Fernando Alonso
Las Vegas,Max Verstappen,Charles Leclerc,Sergio Perez
Abu Dhabi,Max Verstappen,Charles Leclerc,George Russell
